@relation train_auto_PartB_numeric

@attribute normalized-losses numeric
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute engine-size numeric
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute engine-power numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute mean-effective-pressure numeric
@attribute torque numeric
@attribute price numeric

@data
115,95.7,158.8,70.3,55.5,11.47,3.46,3.4,9.41,73000,4800,29,38,20.38,118.26,8495
129,98.8,177.8,66.5,53.7,11.47,3.39,3.39,8.6,84000,4800,26,32,23.17,102.95,10595
121,100.4,157.9,64,54.1,11.47,3.01,2.87,8,101000,5100,15,34,25.99,92.73,10245
115,98.8,177.8,66.5,55.5,11.47,3.39,3.39,8.6,84000,4800,26,32,49.18,49.31,11245
118,104.9,175,66.1,54.4,16.44,3.76,3.16,7,120000,4150,30,23,70.7,37.77,18280
93,110,190.9,70.3,56.5,38.86,3.58,3.64,21.5,123000,4350,22,38,40.58,86.62,29552
87,99.2,183.5,66.2,58.7,38.86,3.43,3.27,9.4,62000,5250,29,24,53.25,70.42,31248
93,106.7,187.5,70.3,54.9,38.86,3.58,3.64,21.5,123000,4350,22,25,47.39,73.76,38176
93,115.6,202.6,71.7,56.3,38.86,3.58,3.64,21.5,123000,4350,22,25,64.75,58.23,41600
142,96.6,180.3,70.5,50.8,107.77,3.46,3.1,8.3,155000,4800,16,18,4.52,814.89,42056
161,93.7,157.3,64.4,50.8,6.3,2.97,3.23,9.4,68000,5500,37,41,26.21,73.18,5389
161,93.7,157.3,64.4,50.8,6.3,2.97,3.23,9.4,68000,5500,31,38,58.48,33.24,6189
161,93.7,157.3,64.4,50.8,6.3,2.97,3.23,9.4,68000,5500,31,38,34.72,57.72,6669
161,93,157.3,63.8,50.8,7.1,3.03,3.39,7.6,102000,5500,24,30,8.15,263.17,7689
119,98.8,176.2,66,54.4,9.03,3.39,3.21,9.3,116000,5200,27,24,84.75,27.96,9959
153,96.3,173,63.9,49.4,11.47,3.35,3.46,8.5,69000,4400,25,25,15.02,155,8499
103,99.1,167.5,64.6,52.8,11.47,3.13,3.1,8.6,85000,5100,22,27,99.79,23.7,6989
125,96.3,172.4,65.4,51.6,11.47,3.35,3.46,8.5,88000,5000,25,32,19.76,121.72,8189
125,96.3,172.4,64.2,51.6,9.03,3.17,3.46,9.31,116000,5500,23,30,84.88,28.31,9279
137,96.3,172.4,65.4,51.6,9.03,3.17,3.46,7.5,116000,5500,23,30,5.06,474.89,9279
91,95.1,162.4,64,52,6.96,3.03,3.03,8.1,70000,4400,20,24,87.83,21.51,5499
231,94.5,165.3,63.8,54.5,7.85,2.99,3.47,21.9,55000,4800,45,50,95.1,21.21,7099
128,94.5,165.3,63.8,54.5,6.96,3.15,3.29,9.4,69000,5200,31,37,57.72,33.23,6649
129,99.2,173.2,63.9,54.5,6.96,3.08,3.27,8.1,48000,4900,24,47,56.75,34.15,6849
103,94.5,170.2,63.8,53.5,6.96,3.15,3.29,9.4,69000,5200,31,37,50.08,40.42,7349
128,94.5,165.3,63.8,54.5,6.96,3.15,3.29,9.4,69000,5200,31,37,55.16,35.37,7299
128,94.5,165.6,63.8,52.5,6.96,3.15,3.4,9.4,69000,5200,31,37,27.47,73.84,7799
122,94.5,165.3,63.8,54.5,6.96,3.15,3.29,9.4,69000,5200,31,37,12.23,161.11,7499
103,94.5,157.3,63.8,55.5,6.96,3.15,3.29,9.4,69000,5200,31,37,9.97,204.33,7999
168,95.1,162.4,63.8,53.3,6.96,3.15,3.29,9.4,69000,5200,31,37,57.51,34.91,8249
115,95.1,173,65.2,51,11.02,2.54,3.03,7.8,97000,4350,19,23,25.95,89.57,8949
106,97.2,173.4,65.2,54.7,11.02,3.33,3.47,8.5,97000,5200,27,34,30.35,75.85,9549
128,100.4,181.7,66.5,55.5,37.34,3.43,3.27,9,152000,5200,17,22,80.68,38.36,13499
106,95.1,173.6,66.5,56.1,37.34,3.19,4.17,9,70000,5200,17,31,51.93,63.46,14399
108,100.4,184.6,66.5,55.1,37.34,3.43,3.27,9,152000,5200,19,25,79.53,38.48,13499
113,96.9,175.4,67.9,49.7,37.34,3.43,3.27,9,160000,5200,19,25,51.37,59.78,17199
194,91.3,170.7,67.9,49.7,37.34,3.43,3.27,7.8,200000,5200,17,23,92.51,33.93,19699
231,99.2,178.5,64.2,54.5,37.34,2.91,3.35,9,92000,5300,15,25,32.78,95.75,18399
65,86.6,141.1,60.3,49.4,11.02,2.54,2.07,23,48000,4150,15,18,98.76,30.58,11900
145,107.9,186.7,68.4,56.7,20.91,3.7,3.52,21,95000,4150,28,41,57.26,55.83,13200
161,107.9,186.7,68.4,56.7,11.02,3.46,2.19,8.4,95000,5000,19,24,37.3,82.43,15580
87,102.9,175.4,63.8,51,20.91,3.61,3.41,8.6,62000,5300,18,22,24.97,130.24,16900
161,107.9,186.7,68.4,56.7,11.02,3.46,3.19,8.4,97000,5000,19,24,15.74,195.37,16630
161,107.9,186.7,68.4,56.7,20.91,3.7,3.52,21,95000,4150,28,33,72.02,45.15,17950
161,108,186.7,60.3,56,14.59,3.61,3.21,9.2,142000,5600,18,22,33.12,94.51,18150
89,93.7,157.3,63.8,50.8,6.05,2.97,3.23,9.4,68000,5500,37,41,0.49,3912.87,5572
119,93.7,157.3,63.8,50.8,7.1,3.03,3.39,9.4,112000,5500,24,30,87.04,24.45,7957
154,99.8,141.1,66.4,50.6,6.05,3.03,3.29,8,68000,4350,20,18,32.91,59.78,6229
107,96.6,169.1,65.2,53.2,6.05,3.17,3.11,8.7,94000,4500,23,28,20.25,98.23,6692
154,93.7,167.3,60.3,55.1,7.1,2.97,3.23,8.7,68000,5500,21,31,71.92,30.46,7609
188,102.4,165.3,67.2,52.5,11.47,3.35,3.46,8.5,88000,5000,24,30,37.97,66.77,8921
186,94.5,168.9,68.3,52,20.49,3.94,3.11,9.5,143000,5500,19,27,8.08,344.02,22018
91,99.1,186.6,66.5,56.1,11.25,3.54,3.07,9.31,110000,5250,21,28,67.03,39.66,11850
104,99.1,186.6,66.5,56.1,11.25,3.54,3.07,9.3,110000,4400,21,28,95.69,28.16,12170
150,99.1,186.6,66.5,56.1,11.25,2.54,2.07,9.3,110000,5250,21,28,64.82,41.76,15040
104,97.3,158.8,65.6,51.4,11.25,3.05,3.58,9.3,176000,5800,45,28,17.1,161.28,15510
150,99.1,186.6,66.5,56.1,11.25,3.54,3.07,9,160000,5500,19,26,50.85,55.22,18150
65,95.7,162.4,71.7,51.6,11.25,3.05,3.16,8.1,69000,5500,25,36,92.29,30.85,18620
91,86.6,156.9,63.4,54.7,6.96,3.62,2.36,23,111000,4900,19,36,29.33,69.88,5118
83,94.5,157.9,64,53.7,8.67,3.62,2.87,8.3,114000,4800,49,25,60.82,34.86,7053
83,93.3,157.3,63.8,55.7,8.67,3.62,2.64,8.7,73000,4400,26,31,49.8,44.98,7603
137,102.4,187.5,65.4,49.7,8.67,3.62,2.64,9.5,82000,4800,32,37,55.28,38.8,7126
102,97.2,172,65.4,52.5,8.67,3.62,2.64,9.5,82000,4400,28,33,91.17,24.02,7775
102,97.2,172,65.4,52.5,8.67,3.62,2.64,9,94000,5200,26,32,30.47,76.78,9960
102,97,172,65.4,54.3,8.67,3.62,2.64,9,82000,4800,24,25,7.22,330.56,9233
85,97,165.3,65.4,54.3,8.67,3.62,2.64,23,116000,4800,24,29,70.7,35.5,11259
89,97,173.5,65.4,53,8.67,3.62,2.19,9,76000,4150,28,22,81.85,27.98,7463
65,93.3,157.9,63.8,53,8.67,3.34,2.8,9.2,106000,5100,18,36,99.73,24.62,10198
85,99.8,199.6,65.4,59.1,8.67,3.62,2.64,9,52000,4800,23,29,3.48,695.36,8013
85,96.9,173.6,65.4,54.9,8.67,3.62,2.64,7.7,111000,4800,23,23,80.61,32.88,11694
98,93.1,166.3,66.1,54.3,6.3,3.33,3.23,8.4,102000,4250,35,39,56.99,34.83,5348
87,95.7,158.7,63.6,54.5,6.3,3.05,3.03,9,62000,4800,31,38,40.78,50.02,6338
107,95.7,158.7,63.6,54.5,6.3,2.97,3.03,9,95000,4800,31,38,5.57,361.53,6488
77,95.7,169.7,63.6,59.1,6.3,3.05,3.03,9,62000,4800,31,54,72.73,31.35,6918
81,95.7,169.1,63.6,53.5,6.3,3.05,3.03,9,62000,4800,17,32,12.81,178.78,7898
91,95.7,169.7,63.6,59.1,6.3,3.05,3.03,9,62000,4800,27,32,38.69,80.38,8778
91,95.7,166.3,64.4,53,7.1,3.19,3.03,9,70000,4800,30,37,73.22,28.42,6938
91,97,166.3,65.5,53.5,7.1,3.24,3.16,22.5,161000,4750,24,30,99.85,21.12,7198
91,95.7,166.3,64.4,50.8,9.03,3.6,3.47,7.7,60000,4350,34,22,71.6,31.77,7898
91,95.7,166.3,64.4,52.8,9.03,3.27,3.35,22.5,56000,4500,38,47,93.47,24.34,7788
231,113,192.7,71.4,59.1,7.1,3.78,3.9,7,176000,6600,49,53,71.77,29.18,7738
150,104.3,176.8,68.3,56,7.1,3.58,3.46,9.6,134000,5400,34,41,9.56,221.89,8358
91,95.7,166.3,64.4,52.8,7.1,3.19,3.03,9,70000,4800,28,34,1.54,1387.95,9258
168,94.5,168.7,64,52.6,7.1,3.19,3.03,9,70000,4800,29,34,38.8,55.9,8058
128,94.5,168.7,64,57.5,7.1,3.19,3.03,9,70000,4800,29,34,5.25,419.83,8238
168,94.5,168.7,64,52.6,7.1,3.24,3.08,9.4,112000,6600,26,29,66.36,34.13,9298
90,97,159.1,64.4,51.4,7.1,3.27,3.03,9.4,106000,4400,20,29,55.9,41.14,9538
134,98.4,176.2,65.6,52,18.54,3.62,3.5,9.3,116000,4800,24,30,56.1,45.28,8449
194,110,190.9,70.5,58.7,18.54,3.76,3.9,22.5,162000,6000,47,53,58.65,43.24,9639
102,96.6,167.3,64.8,53,18.54,3.15,3.11,8.5,86000,4750,23,28,85.23,29.93,9989
134,98.4,176.2,65.6,56.3,18.54,3.34,3.5,10.1,143000,5100,15,43,16.92,158.36,11199
134,98.4,176.2,65.6,52,18.54,3.01,3.5,9.3,116000,4350,24,30,8.45,321.25,11549
134,98.4,176.2,65.6,53,18.54,3.58,3.5,9.3,116000,5400,24,18,24.32,122.3,17669
161,99.1,168.9,66.2,49.4,11.47,2.99,3.27,9.6,48000,4250,28,32,50.81,45.78,8948
65,102.4,175.6,66.5,54.9,9.03,3.27,3.35,22.5,73000,4500,30,33,33.75,73.48,10698
74,93.1,163.4,66.5,53.7,11.47,3.31,3.54,8.7,92000,4200,31,32,67.79,35.61,9988
65,102.4,175.6,66.5,54.9,11.47,3.31,3.54,8.7,92000,4200,27,32,4.38,551.75,10898
65,102.4,175.6,66.5,53.9,11.47,3.31,3.54,8.7,92000,4200,27,32,97.39,25.24,11248
110,88.4,173.2,66.4,52,30.57,3.94,2.64,9.3,156000,4250,31,24,0.95,3132.33,16558
197,102.9,183.5,67.7,52,30.57,3.27,3.35,9.3,161000,6600,19,24,62.44,48.3,15998
90,104.5,187.8,66.5,54.1,30.57,3.27,3.35,9.2,156000,5200,20,24,12.59,248.78,15690
122,97.3,171.7,65.5,55.7,6.96,3.01,3.4,23,200000,4800,37,29,57.53,39.3,7775
122,97.3,171.7,65.5,55.7,8.85,3.19,3.4,9,85000,5250,27,34,44.37,49.79,7975
94,97.3,171.7,65.5,55.7,6.96,3.01,3.4,23,52000,4800,37,46,8.21,275.85,7995
94,97.3,171.7,65.5,55.7,8.85,3.19,3.4,9,85000,5250,27,34,33.79,65.46,8195
256,115.6,150,63.6,54.9,8.85,3.19,3.4,9,60000,5250,27,34,60.72,37.46,8495
83,93.7,172.4,67.2,55.5,6.96,3.19,2.8,9.41,116000,4500,35,38,63.23,36.68,9495
94,97.3,171.7,65.5,55.7,8.85,3.19,3.4,8.6,100000,5500,26,32,54.41,42.27,9995
256,104.5,165.7,63.6,51.4,8.85,2.97,2.64,9.1,90000,5300,27,33,2.31,960.49,9980
90,113,173.5,66.2,56.2,16.78,3.24,4.17,8.8,68000,5400,20,19,75.27,38.69,12940
74,104.3,188.8,67.2,57.5,16.78,3.78,3.15,9.5,114000,5400,23,28,29.16,104.04,13415
125,94.5,171.7,66.5,54.5,16.78,3.34,2.07,9.2,110000,6600,24,54,9.58,306.48,15985
74,104.3,188.8,67.2,50.8,16.78,3.78,3.15,9.5,114000,5400,24,28,47.2,64.45,16515
103,104.3,188.8,67.2,56.2,13.46,3.62,3.15,7.5,116000,5100,49,24,2.13,1428.25,18420
74,104.3,188.8,67.2,57.5,13.46,3.62,3.15,7.5,162000,5100,17,22,69.57,45.38,18950
95,109.1,188.8,68.9,55.5,16.78,3.78,3.15,9.5,114000,5400,23,28,78.93,37.4,16845
95,109.1,188.8,68.8,55.5,16.78,3.78,3.15,8.7,160000,5300,19,25,3.12,978.11,19045
137,93.3,180.3,65.4,53.3,31.82,3.5,2.87,8.8,134000,4250,24,29,32.54,92.57,21485
95,109.1,188.8,68.9,55.5,18.17,3.01,3.4,23,106000,4800,26,27,50.1,64.21,22470
94,108,188.8,68.9,55.5,16.78,3.78,3.15,7.7,114000,5400,19,25,9.7,315.83,22625
